booking_id,hotel_type,lead_time,room_price,payment_type,customer_type,booking_channel,cancellation_status,cancellation_reason
1,Budget,29,2557,Pay at Hotel,New,Website,1,No Show
2,City,21,2466,Pay at Hotel,Returning,Agent,1,Payment Failure
3,Budget,27,3585,Prepaid,Returning,Website,1,No Show
4,Budget,6,1519,Pay at Hotel,New,App,1,Change of Plan
5,City,34,1205,Prepaid,New,App,1,Unknown
6,City,54,3094,Prepaid,New,Website,1,Payment Failure
7,Budget,27,871,Prepaid,New,Website,1,Better Alternative
8,Resort,13,2853,Pay at Hotel,New,Website,1,Change of Plan
9,Budget,55,2029,Pay at Hotel,Returning,App,1,Price Issue
10,Budget,9,2367,Pay at Hotel,New,Website,1,Price Issue
11,Budget,15,4482,Prepaid,New,Website,0,Not Cancelled
12,Budget,15,3753,Pay at Hotel,Returning,Agent,1,Unknown
13,City,53,5282,Prepaid,New,Website,1,No Show
14,Budget,30,1498,Prepaid,Returning,Agent,1,Better Alternative
15,Resort,41,1626,Prepaid,New,Agent,1,Better Alternative
16,City,24,1148,Prepaid,Returning,Agent,1,Price Issue
17,Resort,12,4708,Prepaid,New,App,0,Not Cancelled
18,Resort,5,1107,Prepaid,Returning,Agent,0,Not Cancelled
19,Resort,43,4216,Pay at Hotel,Returning,Website,1,Price Issue
20,Resort,8,3134,Prepaid,New,App,0,Not Cancelled
21,City,44,5661,Pay at Hotel,New,App,1,No Show
22,City,35,5620,Prepaid,New,App,1,Better Alternative
23,Resort,55,3609,Pay at Hotel,Returning,App,1,Unknown
24,Resort,42,4358,Pay at Hotel,Returning,App,1,Better Alternative
25,City,19,5278,Pay at Hotel,Returning,App,1,Better Alternative
26,City,17,4277,Pay at Hotel,New,App,1,Price Issue
27,City,57,5420,Prepaid,New,Agent,1,Payment Failure
28,Budget,42,3486,Prepaid,Returning,Website,1,Price Issue
29,Budget,56,3785,Prepaid,New,Website,1,Change of Plan
30,Budget,20,1075,Prepaid,Returning,Agent,0,Not Cancelled
31,Resort,3,3347,Pay at Hotel,New,Agent,1,Better Alternative
32,Budget,49,3564,Pay at Hotel,New,App,1,Change of Plan
33,Resort,32,1136,Pay at Hotel,Returning,App,1,Better Alternative
34,Resort,26,2773,Prepaid,New,Agent,1,Better Alternative
35,Budget,6,3779,Pay at Hotel,New,App,1,Unknown
36,Resort,5,5376,Prepaid,New,Website,0,Not Cancelled
37,Budget,14,4768,Pay at Hotel,New,Website,1,Change of Plan
38,Budget,17,1710,Pay at Hotel,New,App,1,Price Issue
39,City,31,2796,Pay at Hotel,Returning,App,1,Better Alternative
40,Budget,55,3929,Pay at Hotel,New,App,1,Payment Failure
41,City,10,5004,Pay at Hotel,Returning,Website,1,Change of Plan
42,Budget,19,4557,Prepaid,New,App,0,Not Cancelled
43,Budget,23,1127,Pay at Hotel,New,Agent,1,Unknown
44,City,14,2599,Prepaid,Returning,App,0,Not Cancelled
45,City,47,1114,Prepaid,Returning,Agent,1,Price Issue
46,Budget,6,4345,Prepaid,New,App,0,Not Cancelled
47,Resort,20,1934,Prepaid,New,App,0,Not Cancelled
48,City,41,3546,Prepaid,Returning,Website,1,Unknown
49,Resort,25,5676,Prepaid,Returning,Agent,1,Payment Failure
50,Resort,43,2320,Prepaid,Returning,Agent,1,No Show
51,Resort,55,955,Prepaid,Returning,Agent,1,Change of Plan
52,City,13,2524,Pay at Hotel,New,Website,1,No Show
53,Resort,56,4143,Pay at Hotel,New,Agent,1,Change of Plan
54,City,36,1686,Prepaid,New,Website,1,Payment Failure
55,Resort,57,3873,Prepaid,New,App,1,Payment Failure
56,Budget,20,3605,Prepaid,New,App,0,Not Cancelled
57,Budget,17,1521,Pay at Hotel,Returning,Agent,1,Payment Failure
58,City,4,1712,Pay at Hotel,Returning,App,1,Better Alternative
59,Budget,2,4157,Prepaid,Returning,App,0,Not Cancelled
60,Budget,22,1670,Prepaid,New,Agent,1,No Show
61,Resort,25,4908,Pay at Hotel,Returning,App,1,Change of Plan
62,City,36,1297,Pay at Hotel,New,Agent,1,Payment Failure
63,Resort,23,2556,Prepaid,New,Agent,1,Price Issue
64,Resort,48,1917,Prepaid,New,App,1,Price Issue
65,Resort,18,4209,Prepaid,Returning,App,0,Not Cancelled
66,Resort,50,3628,Prepaid,New,App,1,Unknown
67,Resort,24,2447,Pay at Hotel,New,App,1,Better Alternative
68,Resort,20,3783,Pay at Hotel,Returning,App,1,Payment Failure
69,Resort,11,942,Prepaid,New,Website,0,Not Cancelled
70,City,56,3561,Prepaid,Returning,App,1,Better Alternative
71,Budget,40,4235,Prepaid,New,Website,1,No Show
72,Resort,32,5460,Pay at Hotel,Returning,Agent,1,Change of Plan
73,Resort,49,3231,Prepaid,New,App,1,Payment Failure
74,Resort,52,5312,Prepaid,New,App,1,Payment Failure
75,Resort,3,2648,Prepaid,Returning,App,0,Not Cancelled
76,Resort,41,3496,Pay at Hotel,New,Agent,1,No Show
77,Resort,56,2517,Prepaid,Returning,Website,1,Payment Failure
78,Budget,6,3872,Pay at Hotel,New,Website,1,Unknown
79,Budget,21,1867,Prepaid,Returning,App,1,Unknown
80,Resort,54,3586,Prepaid,New,App,1,Unknown
81,Budget,32,4591,Prepaid,New,App,1,Payment Failure
82,City,16,2088,Pay at Hotel,New,App,1,Payment Failure
83,Resort,23,4671,Prepaid,Returning,Agent,1,Payment Failure
84,City,33,2606,Prepaid,Returning,App,1,Better Alternative
85,City,27,2304,Pay at Hotel,Returning,Agent,1,Unknown
86,Resort,57,4108,Pay at Hotel,Returning,App,1,Better Alternative
87,Budget,42,5912,Pay at Hotel,Returning,Website,1,Change of Plan
88,City,40,5848,Prepaid,New,Website,1,Payment Failure
89,Resort,38,3751,Pay at Hotel,New,App,1,No Show
90,City,21,871,Prepaid,New,App,1,Price Issue
91,City,48,2490,Pay at Hotel,New,Agent,1,Change of Plan
92,City,16,2144,Pay at Hotel,New,App,1,Price Issue
93,City,33,4103,Pay at Hotel,Returning,App,1,Price Issue
94,Budget,5,3913,Prepaid,New,App,0,Not Cancelled
95,City,45,1682,Prepaid,Returning,Website,1,No Show
96,City,5,5034,Prepaid,New,Agent,0,Not Cancelled
97,City,33,3462,Prepaid,Returning,Website,1,Unknown
98,Budget,0,2304,Prepaid,Returning,Agent,0,Not Cancelled
99,City,9,3263,Prepaid,Returning,Website,0,Not Cancelled
100,City,20,3353,Prepaid,New,App,0,Not Cancelled
101,Budget,4,1532,Prepaid,New,Website,0,Not Cancelled
102,Budget,1,2548,Prepaid,New,Website,0,Not Cancelled
103,Budget,21,4724,Pay at Hotel,New,Agent,1,No Show
104,City,47,1223,Pay at Hotel,Returning,Agent,1,Change of Plan
105,Budget,56,4278,Prepaid,Returning,Website,1,Change of Plan
106,Budget,1,2391,Prepaid,Returning,Agent,0,Not Cancelled
107,City,9,5285,Prepaid,Returning,Agent,0,Not Cancelled
108,Budget,33,5237,Prepaid,New,Agent,1,Payment Failure
109,City,15,5841,Pay at Hotel,Returning,Agent,1,Price Issue
110,Resort,47,5509,Pay at Hotel,New,Agent,1,No Show
111,Budget,50,1292,Prepaid,Returning,Website,1,Change of Plan
112,Resort,38,991,Pay at Hotel,Returning,Agent,1,Price Issue
113,City,21,1298,Pay at Hotel,Returning,App,1,Price Issue
114,Budget,11,5717,Prepaid,New,Website,0,Not Cancelled
115,City,23,2056,Prepaid,New,Website,1,Unknown
116,Resort,46,2768,Prepaid,Returning,Website,1,No Show
117,City,39,5122,Prepaid,Returning,Agent,1,Unknown
118,Budget,37,2986,Pay at Hotel,Returning,App,1,No Show
119,Budget,59,1616,Prepaid,New,Agent,1,Change of Plan
120,Resort,58,4020,Pay at Hotel,New,Website,1,Change of Plan
121,City,9,2273,Prepaid,New,Website,0,Not Cancelled
122,Budget,34,1886,Pay at Hotel,Returning,Website,1,No Show
123,Resort,50,4999,Prepaid,New,Website,1,No Show
124,Budget,48,2674,Prepaid,Returning,Agent,1,Unknown
125,Budget,31,1670,Pay at Hotel,New,App,1,Change of Plan
126,City,6,5563,Pay at Hotel,Returning,App,1,Better Alternative
127,Budget,20,2842,Pay at Hotel,Returning,Website,1,Price Issue
128,City,19,1072,Prepaid,New,App,0,Not Cancelled
129,Budget,25,1829,Pay at Hotel,Returning,Website,1,Payment Failure
130,Resort,3,4018,Pay at Hotel,Returning,Website,1,Payment Failure
131,Budget,45,4869,Pay at Hotel,Returning,App,1,Better Alternative
132,City,51,1851,Pay at Hotel,New,Website,1,Change of Plan
133,City,21,4833,Pay at Hotel,Returning,App,1,Change of Plan
